,IMDBid,movieId,movieTitle,releaseDate,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western
0,tt0099620,958,To Live (Huozhe) (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,tt0101540,218,Cape Fear (1991),01-Jan-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,tt0101700,171,Delicatessen (1991),01-Jan-91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,tt0102926,98,"Silence of the Lambs, The (1991)",01-Jan-91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4,tt0102975,227,Star Trek VI: The Undiscovered Country (1991),01-Jan-91,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,tt0103064,96,Terminator 2: Judgment Day (1991),01-Jan-91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6,tt0103639,95,Aladdin (1992),01-Jan-92,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7,tt0103772,159,Basic Instinct (1992),01-Jan-92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8,tt0103776,231,Batman Returns (1992),01-Jan-92,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,tt0103850,425,Bob Roberts (1992),01-Jan-92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,tt0103859,765,Boomerang (1992),01-Jan-92,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11,tt0103874,217,Bram Stoker's Dracula (1992),01-Jan-92,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
12,tt0103919,672,Candyman (1992),01-Jan-92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,tt0103926,1567,Careful (1992),01-Jan-92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,tt0103994,462,Like Water For Chocolate (Como agua para chocolate) (1992),01-Jan-92,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15,tt0104029,1056,Cronos (1992),01-Jan-92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,tt0104046,1565,Daens (1992),01-Jan-92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,tt0104348,160,Glengarry Glen Ross (1992),01-Jan-92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,tt0104403,1341,Hedd Wyn (1992),01-Jan-92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,tt0104558,128,Supercop (1992),26-Jul-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,tt0104691,241,"Last of the Mohicans, The (1992)",01-Jan-92,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
21,tt0104692,145,"Lawnmower Man, The (1992)",01-Jan-92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22,tt0104779,1268,Bitter Moon (1992),01-Jan-92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,tt0105032,1196,"Savage Nights (Nuits fauves, Les) (1992)",01-Jan-92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,tt0105107,972,Passion Fish (1992),01-Jan-92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,tt0105201,1570,Quartier Mozart (1992),01-Jan-92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,tt0105226,466,Red Rock West (1992),01-Jan-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,tt0105236,156,Reservoir Dogs (1992),01-Jan-92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28,tt0105275,1597,Romper Stomper (1992),01-Jan-92,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
