,movieId,movieTitle,releaseDate,Genre
0,958,To Live (Huozhe) (1994),01-Jan-94,['Drama']
1,218,Cape Fear (1991),01-Jan-91,['Thriller']
2,171,Delicatessen (1991),01-Jan-91,"['Comedy', 'SciFi']"
3,98,"Silence of the Lambs, The (1991)",01-Jan-91,"['Drama', 'Thriller']"
4,227,Star Trek VI: The Undiscovered Country (1991),01-Jan-91,"['Action', 'Adventure', 'SciFi']"
5,96,Terminator 2: Judgment Day (1991),01-Jan-91,"['Action', 'SciFi', 'Thriller']"
6,95,Aladdin (1992),01-Jan-92,"['Animation', 'Childrens', 'Comedy', 'Musical']"
7,159,Basic Instinct (1992),01-Jan-92,"['Mystery', 'Thriller']"
8,231,Batman Returns (1992),01-Jan-92,"['Action', 'Adventure', 'Comedy', 'Crime']"
9,425,Bob Roberts (1992),01-Jan-92,['Comedy']
10,765,Boomerang (1992),01-Jan-92,"['Comedy', 'Romance']"
11,217,Bram Stoker's Dracula (1992),01-Jan-92,"['Horror', 'Romance']"
12,672,Candyman (1992),01-Jan-92,['Horror']
13,1567,Careful (1992),01-Jan-92,['Comedy']
14,462,Like Water For Chocolate (Como agua para chocolate) (1992),01-Jan-92,"['Drama', 'Romance']"
15,1056,Cronos (1992),01-Jan-92,['Horror']
16,1565,Daens (1992),01-Jan-92,['Drama']
17,160,Glengarry Glen Ross (1992),01-Jan-92,['Drama']
18,1341,Hedd Wyn (1992),01-Jan-92,['Drama']
19,128,Supercop (1992),26-Jul-96,"['Action', 'Thriller']"
20,241,"Last of the Mohicans, The (1992)",01-Jan-92,"['Action', 'Romance', 'War']"
21,145,"Lawnmower Man, The (1992)",01-Jan-92,"['Action', 'SciFi', 'Thriller']"
22,1268,Bitter Moon (1992),01-Jan-92,['Drama']
23,1196,"Savage Nights (Nuits fauves, Les) (1992)",01-Jan-92,['Drama']
24,972,Passion Fish (1992),01-Jan-92,['Drama']
25,1570,Quartier Mozart (1992),01-Jan-92,['Comedy']
26,466,Red Rock West (1992),01-Jan-92,['Thriller']
27,156,Reservoir Dogs (1992),01-Jan-92,"['Crime', 'Thriller']"
28,1597,Romper Stomper (1992),01-Jan-92,"['Action', 'Drama']"
29,239,Sneakers (1992),01-Jan-92,"['Crime', 'Drama', 'SciFi']"
30,709,Strictly Ballroom (1992),01-Jan-92,"['Comedy', 'Romance']"
31,233,Under Siege (1992),01-Jan-92,['Action']
32,203,Unforgiven (1992),01-Jan-92,[]
33,1354,Venice/Venice (1992),01-Jan-92,['Drama']
34,1568,Vermont Is For Lovers (1992),01-Jan-92,"['Comedy', 'Romance']"
35,386,Addams Family Values (1993),01-Jan-93,['Comedy']
36,387,"Age of Innocence, The (1993)",01-Jan-93,['Drama']
37,1206,Amos & Andrew (1993),01-Jan-93,['Comedy']
38,571,Another Stakeout (1993),01-Jan-93,"['Comedy', 'Thriller']"
39,184,Army of Darkness (1993),01-Jan-93,"['Action', 'Adventure', 'Comedy', 'Horror', 'SciFi']"
40,1153,Backbeat (1993),01-Jan-93,"['Drama', 'Musical']"
41,747,Benny & Joon (1993),01-Jan-93,"['Comedy', 'Romance']"
42,1030,"Beverly Hillbillies, The (1993)",01-Jan-93,['Comedy']
43,784,Beyond Bedlam (1993),01-Jan-93,"['Drama', 'Horror']"
44,573,Body Snatchers (1993),01-Jan-93,"['Horror', 'SciFi', 'Thriller']"
45,574,Boxing Helena (1993),01-Jan-93,"['Mystery', 'Romance', 'Thriller']"
46,467,"Bronx Tale, A (1993)",01-Jan-93,['Drama']
47,1146,Calendar Girl (1993),01-Jan-93,['Drama']
48,76,Carlito's Way (1993),01-Jan-93,"['Crime', 'Drama']"
49,576,Cliffhanger (1993),01-Jan-93,"['Action', 'Adventure', 'Crime']"
50,577,Coneheads (1993),01-Jan-93,"['Comedy', 'SciFi']"
51,1035,Cool Runnings (1993),01-Jan-93,['Comedy']
52,732,Dave (1993),01-Jan-93,"['Comedy', 'Romance']"
53,959,Dazed and Confused (1993),01-Jan-93,['Comedy']
54,578,Demolition Man (1993),01-Jan-93,"['Action', 'SciFi']"
55,579,Fatal Instinct (1993),01-Jan-93,['Comedy']
56,390,Fear of a Black Hat (1993),01-Jan-93,['Comedy']
57,1045,Fearless (1993),01-Jan-93,['Drama']
58,77,"Firm, The (1993)",01-Jan-93,"['Drama', 'Thriller']"
59,1212,Flesh and Bone (1993),01-Jan-93,"['Drama', 'Mystery', 'Romance']"
60,1249,For Love or Money (1993),01-Jan-93,['Comedy']
61,78,Free Willy (1993),01-Jan-93,"['Adventure', 'Childrens', 'Drama']"
62,1195,Strawberry and Chocolate (Fresa y chocolate) (1993),01-Jan-93,['Drama']
63,79,"Fugitive, The (1993)",01-Jan-93,"['Action', 'Thriller']"
64,1004,Geronimo: An American Legend (1993),01-Jan-93,['Drama']
65,202,Groundhog Day (1993),01-Jan-93,"['Comedy', 'Romance']"
66,1213,Guilty as Sin (1993),01-Jan-93,"['Crime', 'Drama', 'Thriller']"
67,802,Hard Target (1993),01-Jan-93,"['Action', 'Adventure', 'Crime', 'Thriller']"
68,803,Heaven & Earth (1993),01-Jan-93,"['Action', 'Drama', 'War']"
69,140,Homeward Bound: The Incredible Journey (1993),01-Jan-93,"['Adventure', 'Childrens']"
70,80,Hot Shots! Part Deux (1993),01-Jan-93,"['Action', 'Comedy', 'War']"
71,704,"House of the Spirits, The (1993)",01-Jan-93,"['Drama', 'Romance']"
72,684,In the Line of Fire (1993),01-Jan-93,"['Action', 'Thriller']"
73,317,In the Name of the Father (1993),01-Jan-93,['Drama']
74,1365,Johnny 100 Pesos (1993),01-Jan-93,"['Action', 'Drama']"
75,1222,Judgment Night (1993),01-Jan-93,['Action']
76,82,Jurassic Park (1993),01-Jan-93,"['Action', 'Adventure', 'SciFi']"
77,581,Kalifornia (1993),01-Jan-93,"['Drama', 'Thriller']"
78,1672,Kika (1993),01-Jan-93,['Drama']
79,1223,King of the Hill (1993),01-Jan-93,['Drama']
80,1631,"Slingshot, The (1993)",01-Jan-93,"['Comedy', 'Drama']"
81,391,Last Action Hero (1993),01-Jan-93,"['Action', 'Comedy']"
82,1270,Life with Mikey (1993),01-Jan-93,['Comedy']
83,1168,Little Buddha (1993),01-Jan-93,['Drama']
84,701,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",01-Jan-93,['Documentary']
85,734,Made in America (1993),01-Jan-93,['Comedy']
86,1046,Malice (1993),01-Jan-93,['Thriller']
87,392,"Man Without a Face, The (1993)",01-Jan-93,['Drama']
88,805,Manhattan Murder Mystery (1993),01-Jan-93,"['Comedy', 'Mystery']"
89,806,Menace II Society (1993),01-Jan-93,"['Action', 'Crime', 'Drama']"
90,393,Mrs. Doubtfire (1993),01-Jan-93,['Comedy']
